Reference (Strand)	Position	Read-count	pValue
JN555585-	24629	16.0	6.575238117798269E-10
JN555585-	24630	11.0	5.284420985938085E-11
JN555585-	24631	204.0	8.418769718296152E-12
JN555585-	24632	41.0	4.802740130062329E-10
JN555585-	24633	20.0	1.142087304944411E-9
JN555585-	24634	97.0	5.904336327185428E-11
JN555585-	24635	5.0	2.484118527800596E-8
JN555585-	24636	9.0	2.484118527800596E-8
JN555585-	24637	3.0	5.7102464859818916E-8
JN555585-	24638	0.0	5.7102464859818916E-8
JN555585-	24639	1.0	1.43391025088784E-10
JN555585-	24640	0.0	5.7102464859818916E-8
JN555585-	24641	0.0	1.43391025088784E-10
JN555585-	24642	0.0	1.43391025088784E-10
JN555585-	24643	0.0	1.43391025088784E-10
JN555585-	24644	0.0	1.43391025088784E-10
JN555585-	24645	2.0	1.43391025088784E-10
JN555585-	24646	0.0	1.43391025088784E-10
JN555585-	24647	0.0	3.453502153545731E-10
JN555585-	24648	0.0	3.453502153545731E-10
JN555585-	24649	1.0	3.453502153545731E-10
JN555585-	24650	0.0	3.453502153545731E-10
JN555585-	106571	172.0	8.780799133836957E-8
JN555585-	24651	0.0	3.453502153545731E-10
JN555585-	106570	194.0	4.020623189052221E-7
JN555585-	24652	0.0	8.250032922360614E-10
JN555585-	106573	46.0	8.780799133836957E-8
JN555585-	24653	0.0	8.250032922360614E-10
JN555585-	106572	117.0	4.0193699282803E-8
JN555585-	24654	1.0	8.250032922360614E-10
JN555585-	106575	51.0	8.780799133836957E-8
JN555585-	24655	0.0	1.955144788450455E-9
JN555585-	106574	102.0	8.780799133836957E-8
JN555585-	24656	1.0	3.453502153545731E-10
JN555585-	106577	92.0	8.780799133836957E-8
JN555585-	24657	0.0	3.453502153545731E-10
JN555585-	106576	41.0	8.780799133836957E-8
JN555585-	24658	0.0	3.453502153545731E-10
JN555585-	106579	33.0	8.780799133836957E-8
JN555585-	24659	1.0	3.453502153545731E-10
JN555585-	106578	38.0	8.780799133836957E-8
JN555585-	24660	0.0	8.250032922360614E-10
JN555585-	24661	0.0	8.250032922360614E-10
JN555585-	24662	1.0	8.250032922360614E-10
JN555585-	106583	53.0	4.020623189052221E-7
JN555585-	24663	0.0	8.250032922360614E-10
JN555585-	24664	0.0	8.250032922360614E-10
JN555585-	24665	0.0	1.955144788450455E-9
JN555585-	24666	0.0	4.597232340409012E-9
JN555585-	24667	1.0	4.597232340409012E-9
JN555585-	24668	1.0	4.597232340409012E-9
JN555585-	24669	0.0	4.597232340409012E-9
JN555585-	24670	2.0	4.597232340409012E-9
JN555585-	24671	3.0	4.597232340409012E-9
JN555585-	24672	0.0	4.597232340409012E-9
JN555585-	24673	1.0	3.453502153545731E-10
JN555585-	24674	0.0	3.453502153545731E-10
JN555585-	24675	0.0	3.453502153545731E-10
JN555585-	24676	0.0	3.453502153545731E-10
JN555585-	24677	1.0	8.250032922360614E-10
JN555585-	24678	5.0	8.250032922360614E-10
JN555585-	24679	0.0	8.250032922360614E-10
JN555585-	24680	0.0	8.250032922360614E-10
JN555585-	24681	0.0	8.250032922360614E-10
JN555585-	24682	1.0	8.250032922360614E-10
JN555585-	24683	0.0	1.955144788450455E-9
JN555585-	24684	0.0	1.955144788450455E-9
JN555585-	24685	0.0	1.955144788450455E-9
JN555585-	24686	0.0	1.955144788450455E-9
JN555585-	24687	1.0	4.597232340409012E-9
JN555585-	24688	0.0	4.597232340409012E-9
JN555585-	24689	0.0	4.597232340409012E-9
JN555585-	24690	0.0	5.363437730476785E-9
JN555585-	24691	0.0	5.363437730476785E-9
JN555585-	24692	1.0	4.597232340409012E-9
JN555585-	24693	0.0	4.597232340409012E-9
JN555585-	24694	3.0	5.363437730476785E-9
JN555585-	24695	0.0	2.484118527800596E-8
JN555585-	24696	1.0	5.7102464859818916E-8
JN555585-	24697	0.0	1.3031075314163676E-7
JN555585-	24698	2.0	1.3031075314163676E-7
JN555585-	24699	3.0	2.9526107357396116E-7
JN555585-	24700	4.0	2.9526107357396116E-7
JN555585-	24704	5.0	2.9526107357396116E-7
JN555585-	24705	1.0	2.9526107357396116E-7
JN555585-	98449	0.0	2.1284903734928412E-7
JN555585-	98448	0.0	1.0161997554572886E-7
JN555585-	106845	84.0	1.4909870253465837E-7
JN555585-	106846	47.0	1.4909870253465837E-7
JN555585-	106849	78.0	5.249082799457521E-7
JN555585-	131430	47.0	3.639256336618843E-7
JN555585-	131431	9.0	1.6861162480022187E-7
JN555585-	131434	2.0	3.639256336618843E-7
JN555585-	131435	16.0	3.639256336618843E-7
JN555585-	131432	25.0	1.6861162480022187E-7
JN555585-	131433	9.0	3.639256336618843E-7
JN555585-	131436	9.0	3.639256336618843E-7
JN555585-	123269	48.0	4.0448305117340626E-7
JN555585-	123271	56.0	1.9476867461967072E-7
JN555585-	123270	24.0	3.5333320323341187E-7
JN555585-	123273	38.0	7.768605046742797E-9
JN555585-	123272	30.0	9.24689787398401E-8
JN555585-	123275	31.0	7.768605046742797E-9
JN555585-	123274	60.0	1.6250693013153223E-9
JN555585-	123277	60.0	1.2151976361834892E-10
JN555585-	123276	69.0	1.6250693013153223E-9
JN555585-	123279	38.0	2.6653651695684183E-11
JN555585-	123278	24.0	2.6653651695684183E-11
JN555585-	123281	37.0	2.6653651695684183E-11
JN555585-	123280	29.0	2.6653651695684183E-11
JN555585-	131475	32.0	3.6358462088709004E-7
JN555585-	123283	35.0	2.6653651695684183E-11
JN555585-	123282	20.0	2.6653651695684183E-11
JN555585-	123285	21.0	1.2151976361834892E-10
JN555585-	131478	8.0	1.6396795347460176E-7
JN555585-	123284	22.0	1.2151976361834892E-10
JN555585-	131479	31.0	5.363437730476785E-9
JN555585-	123287	19.0	4.178607601321068E-11
JN555585-	131476	11.0	3.6358462088709004E-7
JN555585-	123286	48.0	4.178607601321068E-11
JN555585-	131477	0.0	3.6358462088709004E-7
JN555585-	123289	13.0	1.0087380050247706E-10
JN555585-	131482	14.0	5.363437730476785E-9
JN555585-	123288	28.0	4.178607601321068E-11
JN555585-	131483	3.0	2.484118527800596E-8
JN555585-	123291	0.0	2.6653651695684183E-11
JN555585-	131480	18.0	5.363437730476785E-9
JN555585-	123290	0.0	2.6653651695684183E-11
JN555585-	131481	7.0	2.484118527800596E-8
JN555585-	123293	6.0	1.2688661009451292E-10
JN555585-	131486	3.0	2.484118527800596E-8
JN555585-	123292	1.0	2.6653651695684183E-11
JN555585-	131487	2.0	2.484118527800596E-8
JN555585-	123295	3.0	1.2688661009451292E-10
JN555585-	131484	11.0	2.484118527800596E-8
JN555585-	123294	6.0	5.284420985938085E-11
JN555585-	131485	14.0	2.484118527800596E-8
JN555585-	123297	0.0	1.2688661009451292E-10
JN555585-	131490	7.0	2.484118527800596E-8
JN555585-	123296	5.0	5.284420985938085E-11
JN555585-	131491	1.0	2.484118527800596E-8
JN555585-	123299	4.0	6.575238117798269E-10
JN555585-	131488	8.0	2.484118527800596E-8
JN555585-	123298	3.0	5.284420985938085E-11
JN555585-	131489	8.0	2.484118527800596E-8
JN555585-	123301	1.0	4.931769198818275E-11
JN555585-	131494	1.0	5.7102464859818916E-8
JN555585-	123300	4.0	1.5175220352008283E-9
JN555585-	131495	1.0	2.484118527800596E-8
JN555585-	123303	12.0	2.811007483326217E-10
JN555585-	131492	5.0	2.484118527800596E-8
JN555585-	123302	3.0	1.1855442548048183E-10
JN555585-	131493	5.0	2.484118527800596E-8
JN555585-	123305	1.0	2.811007483326217E-10
JN555585-	131498	2.0	1.3031075314163676E-7
JN555585-	123304	5.0	1.1855442548048183E-10
JN555585-	131499	5.0	2.9526107357396116E-7
JN555585-	123307	1.0	2.811007483326217E-10
JN555585-	131496	3.0	5.7102464859818916E-8
JN555585-	123306	1.0	6.575238117798269E-10
JN555585-	131497	8.0	5.7102464859818916E-8
JN555585-	123309	1.0	2.811007483326217E-10
JN555585-	123308	0.0	6.575238117798269E-10
JN555585-	123311	5.0	2.811007483326217E-10
JN555585-	131500	6.0	2.9526107357396116E-7
JN555585-	123310	5.5	6.575238117798269E-10
JN555585-	123313	7.0	2.811007483326217E-10
JN555585-	123312	0.0	2.811007483326217E-10
JN555585-	123315	6.0	4.931769198818275E-11
JN555585-	123314	4.0	6.575238117798269E-10
JN555585-	131505	1.0	2.9526107357396116E-7
JN555585-	123317	2.0	2.811007483326217E-10
JN555585-	131510	3.0	1.6861162480022187E-7
JN555585-	123316	2.0	1.1855442548048183E-10
JN555585-	131511	1.0	3.639256336618843E-7
JN555585-	123319	3.0	6.575238117798269E-10
JN555585-	123318	1.0	6.575238117798269E-10
JN555585-	123321	1.0	1.4556319603041119E-8
JN555585-	123320	7.0	1.193005019393818E-8
JN555585-	123323	0.0	9.24689787398401E-8
JN555585-	123322	4.0	5.6495459309567965E-8
JN555585-	115195	27.0	4.328077405744534E-8
JN555585-	115194	19.0	2.1284903734928412E-7
JN555585-	115197	19.0	1.4556319603041119E-8
JN555585-	115196	9.0	4.328077405744534E-8
JN555585-	115199	31.0	1.193005019393818E-8
JN555585-	115198	6.0	1.1175660525517155E-8
JN555585-	115201	9.0	1.4556319603041119E-8
JN555585-	115200	12.0	1.193005019393818E-8
JN555585-	115203	2.0	5.6495459309567965E-8
JN555585-	115202	11.0	5.6495459309567965E-8
JN555585-	115205	12.0	2.5313347960334253E-7
JN555585-	115204	8.0	1.204115476110892E-7
JN555585-	115206	7.0	5.249082799457521E-7
JN555585-	115223	11.0	1.9476867461967072E-7
JN555585-	115222	17.0	4.0448305117340626E-7
JN555585-	115225	10.0	1.9476867461967072E-7
JN555585-	115224	7.0	1.9476867461967072E-7
JN555585-	115227	18.0	2.5313347960334253E-7
JN555585-	115226	6.0	4.0448305117340626E-7
JN555585-	115229	11.0	2.5313347960334253E-7
JN555585-	115228	7.0	2.5313347960334253E-7
JN555585-	66079	20.0	1.4909870253465837E-7
JN555585-	115231	8.0	1.4909870253465837E-7
JN555585-	115230	14.0	1.4909870253465837E-7
JN555585-	66081	7.0	1.4909870253465837E-7
JN555585-	115233	13.0	3.706485783372217E-9
JN555585-	66080	6.0	6.998089676390706E-8
JN555585-	115232	13.0	3.774771663508733E-8
JN555585-	66083	3.0	1.7235692916748875E-8
JN555585-	115235	19.0	6.769791142726682E-10
JN555585-	66082	15.0	3.774771663508733E-8
JN555585-	115234	3.0	1.6250693013153223E-9
JN555585-	66085	7.0	1.7235692916748875E-8
JN555585-	115237	1.0	1.5690131484976317E-9
JN555585-	66084	5.0	1.7235692916748875E-8
JN555585-	115236	6.0	6.769791142726682E-10
JN555585-	66087	8.0	3.774771663508733E-8
JN555585-	115239	5.0	3.5931145625126515E-9
JN555585-	66086	6.0	1.7235692916748875E-8
JN555585-	115238	11.0	1.5690131484976317E-9
JN555585-	66089	9.0	8.161325653492634E-8
JN555585-	115241	7.0	1.1855442548048183E-10
JN555585-	66088	2.0	8.161325653492634E-8
JN555585-	115240	4.0	2.1718318249391238E-11
JN555585-	66091	7.0	8.161325653492634E-8
JN555585-	115243	3.0	1.3028204919747988E-9
JN555585-	66090	1.0	8.161325653492634E-8
JN555585-	115242	8.0	1.857146502623241E-8
JN555585-	66093	4.0	1.857146502623241E-8
JN555585-	115245	6.0	1.857146502623241E-8
JN555585-	66092	17.0	4.080495399580606E-8
JN555585-	115244	12.0	2.811007483326217E-10
JN555585-	66095	18.0	8.131143761696564E-9
JN555585-	115247	7.0	8.348471808606822E-9
JN555585-	66094	2.0	4.080495399580606E-8
JN555585-	115246	17.0	1.857146502623241E-8
JN555585-	66097	2.0	1.818462383372824E-8
JN555585-	115249	1.0	1.857146502623241E-8
JN555585-	66096	7.0	8.131143761696564E-9
JN555585-	115248	10.0	8.348471808606822E-9
JN555585-	66099	5.0	3.4561620981663673E-9
JN555585-	115251	0.0	1.857146502623241E-8
JN555585-	66098	8.0	3.4561620981663673E-9
JN555585-	115250	6.0	1.857146502623241E-8
JN555585-	66101	11.0	7.768605046742797E-9
JN555585-	115253	3.0	3.134739674339986E-7
JN555585-	66100	5.0	7.768605046742797E-9
JN555585-	115252	11.0	8.161325653492634E-8
JN555585-	66103	2.0	3.2411136181467335E-8
JN555585-	115255	2.0	5.3682707806457785E-9
JN555585-	66102	3.0	3.2411136181467335E-8
JN555585-	115254	1.0	1.3110335228610917E-9
JN555585-	66105	6.0	3.4561620981663673E-9
JN555585-	115257	2.0	4.328077405744534E-8
JN555585-	66104	12.0	7.768605046742797E-9
JN555585-	115256	3.0	1.1175660525517155E-8
JN555585-	66107	13.0	7.768605046742797E-9
JN555585-	115259	9.0	9.24689787398401E-8
JN555585-	66106	11.0	7.768605046742797E-9
JN555585-	115258	4.0	9.24689787398401E-8
JN555585-	66109	16.0	7.768605046742797E-9
JN555585-	115261	1.0	3.5333320323341187E-7
JN555585-	66108	9.0	3.2411136181467335E-8
JN555585-	115260	3.0	2.990594384059263E-7
JN555585-	66111	1.0	1.204115476110892E-7
JN555585-	66110	10.0	1.4811053895537265E-8
JN555585-	66113	6.0	2.5313347960334253E-7
JN555585-	66112	5.0	2.5313347960334253E-7
JN555585-	66115	6.0	2.5313347960334253E-7
JN555585-	66114	10.0	2.5313347960334253E-7
JN555585-	66116	10.0	2.5313347960334253E-7
JN555585-	66119	2.0	4.0448305117340626E-7
JN555585-	66121	13.0	2.5313347960334253E-7
JN555585-	66123	9.0	1.204115476110892E-7
JN555585-	66122	7.0	1.204115476110892E-7
JN555585-	66125	9.0	4.0448305117340626E-7
JN555585-	66124	6.0	1.204115476110892E-7
JN555585-	66127	3.0	4.0448305117340626E-7
JN555585-	66126	4.0	4.0448305117340626E-7
JN555585-	66129	8.0	4.0448305117340626E-7
JN555585-	66128	1.0	4.0448305117340626E-7
JN555585-	82525	18.0	4.1803857728139073E-7
JN555585-	82526	16.0	4.1803857728139073E-7
JN555585-	107129	57.0	1.3031075314163676E-7
JN555585-	107128	756.0	1.3031075314163676E-7
JN555585-	107131	10.0	2.9526107357396116E-7
JN555585-	107130	15.0	2.9526107357396116E-7
JN555585-	107133	4.0	2.9526107357396116E-7
JN555585-	107132	0.0	2.9526107357396116E-7
JN555585-	107134	12.0	2.9526107357396116E-7
JN555585-	107137	5.0	2.9526107357396116E-7
JN555585-	107139	0.0	2.9526107357396116E-7
JN555585-	107138	5.0	2.9526107357396116E-7
JN555585-	90777	5.0	5.6495459309567965E-8
JN555585-	90776	5.0	4.0448305117340626E-7
JN555585-	90779	8.0	6.677511375725711E-9
JN555585-	90778	1.0	1.4556319603041119E-8
JN555585-	90781	1.0	2.811007483326217E-10
JN555585-	90780	5.0	6.575238117798269E-10
JN555585-	90783	2.0	6.575238117798269E-10
JN555585-	90782	3.0	6.575238117798269E-10
JN555585-	90785	1.0	2.9698369158114362E-9
JN555585-	90784	2.0	6.575238117798269E-10
JN555585-	90787	0.0	1.193005019393818E-8
JN555585-	90786	1.0	2.9698369158114362E-9
JN555585-	90789	2.0	1.4556319603041119E-8
JN555585-	90788	0.0	1.4556319603041119E-8
JN555585-	90791	0.0	5.6495459309567965E-8
JN555585-	90790	0.0	1.4556319603041119E-8
JN555585-	90793	0.0	1.9476867461967072E-7
JN555585-	90792	3.0	1.9476867461967072E-7
JN555585-	90795	1.0	3.5333320323341187E-7
JN555585-	90794	1.0	1.9476867461967072E-7
JN555585-	90801	6.0	5.249082799457521E-7
JN555585-	90802	0.0	5.249082799457521E-7
JN555585-	107239	7.0	2.5313347960334253E-7
JN555585-	107241	3.0	4.0448305117340626E-7
JN555585-	107240	1.0	4.0448305117340626E-7
JN555585-	107245	1.0	2.5313347960334253E-7
JN555585-	107244	7.0	5.249082799457521E-7
JN555585-	33629	12.0	1.4351835873454692E-7
JN555585-	33630	13.0	4.328077405744534E-8
JN555585-	33631	9.0	5.3682707806457785E-9
JN555585-	33632	2.0	5.3682707806457785E-9
JN555585-	33633	13.0	1.3028204919747988E-9
JN555585-	33634	16.0	1.1855442548048183E-10
JN555585-	33635	10.0	8.131143761696564E-9
JN555585-	33636	7.0	3.5931145625126515E-9
JN555585-	33637	1.0	3.5931145625126515E-9
JN555585-	33638	4.0	8.80683728525079E-12
JN555585-	33639	6.0	8.80683728525079E-12
JN555585-	33640	1.0	8.80683728525079E-12
JN555585-	33641	1.0	8.80683728525079E-12
JN555585-	33642	0.0	8.80683728525079E-12
JN555585-	33643	9.0	1.767107121413202E-12
JN555585-	33644	1.0	1.3317693586418912E-12
JN555585-	33645	7.0	1.767107121413202E-12
JN555585-	33646	5.0	1.767107121413202E-12
JN555585-	33647	1.0	8.418769718296152E-12
JN555585-	33648	12.0	1.0916571950260596E-12
JN555585-	33649	4.0	1.0916571950260596E-12
JN555585-	33650	1.0	1.0916571950260596E-12
JN555585-	33651	6.0	1.0916571950260596E-12
JN555585-	33652	1.0	1.0916571950260596E-12
JN555585-	33653	2.5	1.0916571950260596E-12
JN555585-	33654	3.0	2.765488051406034E-12
JN555585-	33655	1.0	2.765488051406034E-12
JN555585-	33656	3.0	2.765488051406034E-12
JN555585-	33657	1.0	2.765488051406034E-12
JN555585-	33658	0.0	2.765488051406034E-12
JN555585-	33659	1.0	2.765488051406034E-12
JN555585-	33660	5.0	3.6006636516989004E-12
JN555585-	33661	8.0	1.2151976361834892E-10
JN555585-	33662	4.0	1.2151976361834892E-10
JN555585-	33663	2.0	1.2151976361834892E-10
JN555585-	33664	7.0	1.6250693013153223E-9
JN555585-	33665	1.0	5.636477122165922E-10
JN555585-	33666	1.0	1.3028204919747988E-9
JN555585-	33667	4.0	1.3028204919747988E-9
JN555585-	33668	1.0	1.3028204919747988E-9
JN555585-	33669	1.0	2.9698369158114362E-9
JN555585-	33670	2.0	2.9698369158114362E-9
JN555585-	33671	0.0	6.677511375725711E-9
JN555585-	33672	5.0	1.4811053895537265E-8
JN555585-	33673	4.0	3.2411136181467335E-8
JN555585-	33674	1.0	3.2411136181467335E-8
JN555585-	33675	11.0	1.7235692916748875E-8
JN555585-	33676	1.0	1.7235692916748875E-8
JN555585-	33677	2.0	1.7235692916748875E-8
JN555585-	33678	4.0	1.7235692916748875E-8
JN555585-	33679	3.0	6.998089676390706E-8
JN555585-	33680	4.0	6.998089676390706E-8
JN555585-	33681	14.0	3.774771663508733E-8
JN555585-	33682	4.0	1.7235692916748875E-8
JN555585-	33683	4.0	1.7235692916748875E-8
JN555585-	33684	2.0	1.7235692916748875E-8
JN555585-	33685	4.0	1.7235692916748875E-8
JN555585-	33686	3.0	1.7235692916748875E-8
JN555585-	33687	4.0	1.7235692916748875E-8
JN555585-	33688	3.0	1.7235692916748875E-8
JN555585-	33689	0.0	1.7235692916748875E-8
JN555585-	33690	2.0	1.7235692916748875E-8
JN555585-	33691	6.0	3.774771663508733E-8
JN555585-	25500	94.0	3.5333320323341187E-7
JN555585-	33692	3.0	3.774771663508733E-8
JN555585-	25501	18.0	2.990594384059263E-7
JN555585-	33693	8.0	1.857146502623241E-8
JN555585-	25502	22.0	3.5333320323341187E-7
JN555585-	33694	5.0	1.857146502623241E-8
JN555585-	99231	204.0	3.6712416133388554E-7
JN555585-	25503	19.0	3.5333320323341187E-7
JN555585-	33695	5.0	1.857146502623241E-8
JN555585-	33696	7.099999904632568	4.080495399580606E-8
JN555585-	99233	102.0	8.85589843379814E-8
JN555585-	33697	6.0	4.080495399580606E-8
JN555585-	99232	294.0	8.85589843379814E-8
JN555585-	33698	4.0	4.080495399580606E-8
JN555585-	99235	163.0	1.818462383372824E-8
JN555585-	33699	8.0	4.0448305117340626E-7
JN555585-	99234	92.0	8.85589843379814E-8
JN555585-	25508	71.0	5.249082799457521E-7
JN555585-	33700	2.0	4.0448305117340626E-7
JN555585-	99237	271.0	3.053384462491789E-9
JN555585-	25509	48.0	1.4909870253465837E-7
JN555585-	99236	111.0	1.818462383372824E-8
JN555585-	25510	38.0	1.7235692916748875E-8
JN555585-	99239	128.0	5.677617630582954E-10
JN555585-	25511	8.0	7.768605046742797E-9
JN555585-	99238	268.0	1.3240999629218193E-9
JN555585-	25512	18.0	6.998089676390706E-8
JN555585-	99241	157.0	1.3240999629218193E-9
JN555585-	25513	17.0	6.998089676390706E-8
JN555585-	99240	200.0	5.677617630582954E-10
JN555585-	25514	4.0	2.5313347960334253E-7
JN555585-	99243	83.0	1.3240999629218193E-9
JN555585-	25515	17.0	5.249082799457521E-7
JN555585-	99242	144.0	1.3240999629218193E-9
JN555585-	99245	49.0	1.3240999629218193E-9
JN555585-	99244	57.0	1.3240999629218193E-9
JN555585-	99247	71.0	3.5931145625126515E-9
JN555585-	25519	55.0	5.249082799457521E-7
JN555585-	99246	70.0	5.677617630582954E-10
JN555585-	99249	156.0	3.5931145625126515E-9
JN555585-	25521	54.0	6.998089676390706E-8
JN555585-	99248	80.0	3.5931145625126515E-9
JN555585-	25522	33.0	3.2411136181467335E-8
JN555585-	99251	91.0	3.5931145625126515E-9
JN555585-	25523	44.0	7.768605046742797E-9
JN555585-	99250	75.0	8.131143761696564E-9
JN555585-	25524	27.0	3.4561620981663673E-9
JN555585-	99253	54.0	3.5931145625126515E-9
JN555585-	25525	3.0	3.4561620981663673E-9
JN555585-	99252	54.0	8.131143761696564E-9
JN555585-	25526	25.0	3.4561620981663673E-9
JN555585-	99255	84.0	3.5931145625126515E-9
JN555585-	25527	10.0	3.4561620981663673E-9
JN555585-	99254	80.0	3.5931145625126515E-9
JN555585-	25528	10.0	3.4561620981663673E-9
JN555585-	99257	68.0	3.5931145625126515E-9
JN555585-	25529	11.0	3.4561620981663673E-9
JN555585-	99256	85.0	3.5931145625126515E-9
JN555585-	25530	10.0	1.4811053895537265E-8
JN555585-	58298	5.0	9.24689787398401E-8
JN555585-	99259	58.0	8.131143761696564E-9
JN555585-	25531	11.0	5.6495459309567965E-8
JN555585-	58299	7.0	9.24689787398401E-8
JN555585-	99258	113.0	3.5931145625126515E-9
JN555585-	25532	6.0	1.9476867461967072E-7
JN555585-	99261	54.0	8.131143761696564E-9
JN555585-	25533	24.0	1.9476867461967072E-7
JN555585-	99260	165.0	3.5931145625126515E-9
JN555585-	25534	26.0	1.9476867461967072E-7
JN555585-	99263	123.0	1.857146502623241E-8
JN555585-	99262	64.0	3.5931145625126515E-9
JN555585-	99265	77.0	1.857146502623241E-8
JN555585-	99264	117.0	1.857146502623241E-8
JN555585-	99267	65.0	1.857146502623241E-8
JN555585-	99266	85.0	1.857146502623241E-8
JN555585-	99269	40.0	1.857146502623241E-8
JN555585-	99268	75.0	1.857146502623241E-8
JN555585-	99271	29.0	8.85589843379814E-8
JN555585-	99270	109.0	4.080495399580606E-8
JN555585-	99273	85.0	8.85589843379814E-8
JN555585-	99272	70.0	8.85589843379814E-8
JN555585-	99275	46.0	3.6712416133388554E-7
JN555585-	99274	104.0	3.6712416133388554E-7
JN555585-	99277	71.0	3.6712416133388554E-7
JN555585-	99276	213.0	3.6712416133388554E-7
JN555585-	99278	143.0	3.6712416133388554E-7
JN555585-	74787	10.0	3.5333320323341187E-7
JN555585-	74786	15.0	4.0448305117340626E-7
JN555585-	74804	4.0	3.5333320323341187E-7
JN555585-	9317	3.0	3.639256336618843E-7
JN555585-	9318	2.0	1.6861162480022187E-7
JN555585-	9319	0.0	1.6861162480022187E-7
JN555585-	9320	0.0	1.6861162480022187E-7
JN555585-	9321	0.0	1.6861162480022187E-7
JN555585-	9322	2.0	1.6861162480022187E-7
JN555585-	9323	2.0	1.6861162480022187E-7
JN555585-	9324	0.0	1.6861162480022187E-7
JN555585-	9325	2.0	1.6861162480022187E-7
JN555585-	9326	1.0	1.6861162480022187E-7
JN555585-	9327	2.0	1.6861162480022187E-7
JN555585-	9328	1.0	1.6861162480022187E-7
JN555585-	140402	4.0	1.7272054671508284E-7
JN555585-	9329	2.0	1.6861162480022187E-7
JN555585-	140403	1.0	1.7272054671508284E-7
JN555585-	9330	0.0	1.6861162480022187E-7
JN555585-	9331	0.0	1.6861162480022187E-7
JN555585-	9332	1.0	1.6861162480022187E-7
JN555585-	9333	2.0	1.6861162480022187E-7
JN555585-	140407	3.0	2.72928883347285E-7
JN555585-	9334	0.0	1.6861162480022187E-7
JN555585-	140404	2.0	1.7272054671508284E-7
JN555585-	9335	2.0	1.6861162480022187E-7
JN555585-	140405	0.0	3.5712043482625136E-7
JN555585-	140410	7.0	2.613779283484341E-8
JN555585-	140411	6.0	1.4864723647421924E-8
JN555585-	140408	3.0	9.689557218973684E-8
JN555585-	140409	2.0	2.613779283484341E-8
JN555585-	9340	0.0	4.0466877563747704E-7
JN555585-	140414	1.0	1.818462383372824E-8
JN555585-	9341	2.0	4.0466877563747704E-7
JN555585-	140415	2.0	1.898554123364882E-7
JN555585-	9342	0.0	4.0466877563747704E-7
JN555585-	140412	7.0	4.534460306400464E-9
JN555585-	140413	10.0	7.129814011136753E-10
JN555585-	140418	4.0	1.818462383372824E-8
JN555585-	140419	3.0	8.131143761696564E-9
JN555585-	140416	3.0	1.898554123364882E-7
JN555585-	140417	5.0	1.898554123364882E-7
JN555585-	140422	0.0	7.821492586784142E-10
JN555585-	140423	0.0	7.821492586784142E-10
JN555585-	140420	1.0	1.818462383372824E-8
JN555585-	140421	4.0	1.9070376355672205E-10
JN555585-	140426	2.0	4.070437420234875E-9
JN555585-	140427	1.0	4.070437420234875E-9
JN555585-	140424	1.0	3.6763264126365243E-9
JN555585-	140425	3.0	4.070437420234875E-9
JN555585-	140430	1.0	2.1284903734928412E-7
JN555585-	140431	1.0	4.3920993505470467E-7
